skill,year,demand,adoption_rate
tensorflow,2022,5942,0.0810995250313916
tensorflow,2023,6405,0.07181781485468246
tensorflow,2024,4638,0.07087733239604505
terraform,2021,5442,0.06522129939237048
terraform,2022,6160,0.08407490309548507
terraform,2023,9068,0.10167743092931468
terraform,2024,5754,0.08793190396870272
terraform,2025,4349,0.08806317707806013
tidb,2023,157,0.001760405453893075
tidb,2024,127,0.0019407980194691076
tidyverse,2022,996,0.013593929136867392
tidyverse,2023,1045,0.01171734840330104
tidyverse,2024,768,0.011736479361828934
tunit,2023,69,0.0007736813778256189
typescript,2021,24909,0.29852946463883795
typescript,2022,24752,0.33782824698367636
typescript,2023,34041,0.38169402583423034
typescript,2024,23150,0.35377538701346334
typescript,2025,13859,0.2806317707806014
unity 3d,2021,7206,0.08636249235968792
unity 3d,2022,5840,0.07970737566195338
unity 3d,2023,5561,0.06235423394330822
unity 3d,2024,3179,0.048581077983403886
uno platform,2022,334,0.004558606758748703
uno platform,2023,357,0.004002960172228202
unreal engine,2021,2339,0.028032454847253682
unreal engine,2022,2180,0.02975378064093465
unreal engine,2023,2482,0.02783010405453893
unreal engine,2024,1639,0.025046991763069824
valkey,2025,632,0.012797408119874456
vba,2021,3847,0.04610553817759081
vba,2022,3185,0.04347054648687012
vba,2023,3107,0.034838087549336205
vba,2024,2248,0.03435365313202011
vba,2025,1334,0.027012250683405892
vercel,2023,7431,0.08332212055974166
vercel,2024,5491,0.08391277106224307
vercel,2025,2602,0.05268806317707806
visual basic (.net),2023,3568,0.04000717617509867
visual basic (.net),2024,2499,0.038189403548451184
visual basic (.net),2025,1409,0.028530930444466942
visual studio solution,2023,11751,0.1317613024757804
visual studio solution,2024,8315,0.12706878371563488
vite,2023,11807,0.13238921779691423
vite,2024,10804,0.16510536852239557
vite,2025,6215,0.12584792953325907
vmware,2022,4429,0.06044930938472457
vmware,2023,4964,0.05566020810907786
vmware,2024,3043,0.04650274309641334
vue,2021,11954,0.14326633828305707
vue,2022,10278,0.14027952175574604
vue,2023,11758,0.13183979189092213
vue,2024,7483,0.11435426440698687
vue,2025,4162,0.08427660220714792
vultr,2023,1357,0.01521573376390384
vultr,2024,798,0.012194935586900378
wasmer,2023,431,0.004832705418012199
webpack,2023,16665,0.18686087190527448
webpack,2024,9970,0.15236028546540947
webpack,2025,4500,0.09112078566366305
wordpress,2023,9604,0.10768747757445282
wordpress,2024,5711,0.08727478337943366
wordpress,2025,3227,0.06534372785258681
xamarin,2021,2844,0.03408478049832812
xamarin,2022,2388,0.03259267347273025
xamarin,2023,2233,0.0250381234302117
xamarin,2024,1333,0.020370738267341107
yandex cloud,2025,165,0.003341095474334312
yarn,2021,12937,0.1550473998969307
yarn,2022,15175,0.2071163400120107
yarn,2023,17545,0.19672811266594906
yarn,2024,10209,0.15601265339181197
yarn,2025,5178,0.10484965070365496
yii 2,2024,454,0.006937970872747834
zephyr,2024,184,0.002811864847104849
zig,2023,729,0.00817411194833154
zig,2024,667,0.010193010070755078
zig,2025,680,0.013769363166953529
